formula,target
Li2S,0.004355567650634904
Li6Br3N,17.050352290478564
Li3CoO2F,26.215358271879442
Mg(FeO2)2,10.441068275550226
CuBr,6.006209603406337
NaTiP2O7,0.0
Cs2Si(HO2)2,0.0021717283614074477
Li2VCO5,2.0493591029330833
LiYMo3O8,19.799944054486236
Te6RhI3,31.26343795613078
Li4Mo3O8,12.350722277123229
AgSbPbS3,5.5732695073861365
TaOF3,5.85987235502253
Li4Co(PO4)2,1.1479845415269379
V2(SO4)3,21.885059300207974
Y2VO5,21.14349737461503
Sn2SbSe2I3,29.03751439619557
PbWO4,6.661854335182571
K2YCuCl6,8.876123178579773
LiFeOF2,12.268780773328388
Li2In(PO4)2,5.461833359472137
Bi5O7F,8.42511134803826
SiCl2,21.009640276053474
CaH2,15.885736354857071
Li2Nb(PO4)2,0.0
LiV2(CO3)4,22.61207312419387
ScAgO3,10.800957490738217
K4Ca(WO4)3,10.403666100468104
HfSO,17.457921831603528
Na6PbO4,32.18178123784631
Li3BiB4O9,0.05889477183400146
LiMn(CO3)2,6.876031376433862
Sr5(VN3)2,6.26686299101344
V4O7F5,20.96018026263261
BrN(OF2)2,13.24266708116858
V2O5,30.558519194924678
K2S5,32.00026890224536
MnCo3O8,30.467561724405634
Mg(InS2)2,27.544641929559937
Cs2InSbCl6,23.83464270633154
GeBr2,22.41640683699508
Ag2H3IO6,16.70915697323795
TeMoWS3,0.02364922667363306
TiSiPt,28.854238475301923
Y2Zn3N4,29.613546088954372
KI,0.9520693065221199
KVO2,22.524385965853103
Te3Mo2S,0.0
Sr2H4Pd,23.79623080597998
LiBiP2O7,0.724956096531442
Sb4S3N2,16.181459026328735
Li2VP2O7,1.8956531906252638
Li3BiO3,6.905528086304299
TiMnO3,27.999032137556956
Li2Fe2SiO6,5.189249524175211
PRuSe,23.801869930442866
MgH12(ClO5)2,1.6124700142535908
TiNbGaO6,11.167875503735845
CoH6(SeO4)2,7.4363101233778135
Bi(PO3)4,5.5662975650163515
CaTaNO2,27.802773392851027
Li2Cr4O13,21.028599514739728
InGa3N4,15.745614671334444
LiNi5O5F,0.24289518952241343
Li4VF8,2.1332794475132486
MnAlO3,31.661310514857067
Li2TiCo2O5,18.506315774066188
In3NO3,0.0
Y2Se3,17.48257439384646
LiVWO6,6.487580556960841
Y2Zr2O7,3.335890434168906
AgAuO3,5.498285723431375
K2InAgBr6,0.0
MnFeNiO4,3.7148553049104036
Cd(AgO2)2,16.483200027906243
Na4PtO4,21.662523167554724
Li2Mn3VO8,18.47060997105155
Te7WBr5O,5.178564053469596
Cs2AlTlI6,22.887342124648256
K2ScTlCl6,1.706257282411262
Mn2NbFeO6,11.285446244158523
Li4CrO5,30.926533901173244
Li2NbS3,6.794437535609524
LiCrSiO4,10.609245152394383
Ca2WO5,3.5569455043183513
Mg(InSe2)2,26.82413366340372
Zn(InSe2)2,0.04365846084633986
Nb2O5,12.07531160874571
Zn(CO2)2,2.7066527378251903
Li4BH10N3,0.7286245185234395
HgF2,3.2952049678330675
Ag2Bi2SeS3,5.613812543258498
